因子代码	因子名称	显示单位(实时数据|累计数据)	显示精度	操作
w00000	污水	l/s|m3	3	修改  删除
w00000_1	污水分流量1	l/s|m3	3	修改  删除
w00000_2	污水分流量2	l/s|m3	3	修改  删除
w01001	pH 值	-|-	3	修改  删除
w01002	色度	-|-	3	修改  删除
w01006	溶解性总固体	-|kg	3	修改  删除
w01009	溶解氧	mg/l|-	3	修改  删除
w01010	水温	℃|-	3	修改  删除
w01012	悬浮物	mg/l|kg	3	修改  删除
w01014	电导率	S/m|-	3	修改  删除
w01017	五日生化需氧量	mg/l|kg	3	修改  删除
w01018	化学需氧量	mg/l|kg	3	修改  删除
w01019	高锰酸盐指数	mg/l|kg	3	修改  删除
w01020	总有机碳	mg/l|kg	3	修改  删除
w02003	粪大肠菌群	-|-	3	修改  删除
w02006	细菌总数	-|-	3	修改  删除
w03001	总α放射性	-|-	3	修改  删除
w03002	总β放射性	-|-	3	修改  删除
w19001	表面活性剂	mg/l|kg	3	修改  删除
w19002	阴离子表面活性剂	mg/l|kg	3	修改  删除
w20012	钡	mg/l|kg	3	修改  删除
w20023	硼	mg/l|kg	3	修改  删除
w20038	钴	mg/l|kg	3	修改  删除
w20061	钼	mg/l|kg	3	修改  删除
w20089	铊	ng/l|mg	3	修改  删除
w20092	锡	mg/l|kg	3	修改  删除
w20111	总汞	ug/l|g	3	修改  删除
w20113	烷基汞	ng/l|mg	3	修改  删除
w20115	总镉	ug/l|g	3	修改  删除
w20116	总铬	mg/l|kg	3	修改  删除
w20117	六价铬	ug/l|g	3	修改  删除
w20119	总砷	ug/l|g	3	修改  删除
w20120	总铅	ug/l|g	3	修改  删除
w20121	总镍	mg/l|kg	3	修改  删除
w20122	总铜	mg/l|kg	3	修改  删除
w20123	总锌	mg/l|kg	3	修改  删除
w20124	总锰	mg/l|kg	3	修改  删除
w20125	总铁	mg/l|kg	3	修改  删除
w20126	总银	mg/l|kg	3	修改  删除
w20127	总铍	ug/l|g	3	修改  删除
w20128	总硒	ug/l|g	3	修改  删除
w20138	铜	mg/l|kg	3	修改  删除
w20139	锌	mg/l|kg	3	修改  删除
w20140	硒	mg/l|kg	3	修改  删除
w20141	砷	mg/l|kg	3	修改  删除
w20142	汞	ug/l|g	3	修改  删除
w20143	镉	ug/l|g	3	修改  删除
w20144	铅	mg/l|kg	3	修改  删除
w21001	总氮	mg/l|kg	3	修改  删除
w21003	氨氮	mg/l|kg	3	修改  删除
w21004	凯氏氮	mg/l|kg	3	修改  删除
w21006	亚硝酸盐	mg/l|kg	3	修改  删除
w21007	硝酸盐	mg/l|kg	3	修改  删除
w21011	总磷	mg/l|kg	3	修改  删除
w21016	氰化物	mg/l|kg	3	修改  删除
w21017	氟化物	mg/l|kg	3	修改  删除
w21019	硫化物	mg/l|kg	3	修改  删除
w21022	氯化物	mg/l|kg	3	修改  删除
w21038	硫酸盐	mg/l|kg	3	修改  删除
w22001	石油类	mg/l|kg	3	修改  删除
w23002	挥发酚	mg/l|kg	3	修改  删除
w25043	苯并[α]芘	ug/l|g	3	修改  删除
w33001	六六六	ng/l|mg	3	修改  删除
w33007	滴滴涕	ng/l|mg	3	修改  删除
w99001	有机氮	mg/l|kg	3	修改  删除
w00000l	累计流量	m3|-	3	修改  删除
a00000	废气	m3/s|m3	3	修改  删除
a01001	温度	℃|-	3	修改  删除
a01002	湿度	%|-	3	修改  删除
a01006	气压	KPa|-	3	修改  删除
a01007	风速	m/s|-	3	修改  删除
a01008	风向	°|-	3	修改  删除
a01010	林格曼黑度	-|-	3	修改  删除
a01011	烟气流速	m/s|-	3	修改  删除
a01012	烟气温度	℃|-	3	修改  删除
a01013	烟气压力	KPa|-	3	修改  删除
a01014	烟气湿度	%|-	3	修改  删除
a01015	制冷温度	℃|-	3	修改  删除
a01016	烟道截面积	m2|-	3	修改  删除
a01017	烟气动压	KPa|-	3	修改  删除
a01901	垃圾焚烧炉膛内焚烧平均温度	℃|-	3	修改  删除
a01902	垃圾焚烧炉膛内DCS温度	℃|-	3	修改  删除
a05001	二氧化碳	mg/m3|kg	3	修改  删除
a05001z	二氧化碳折算	mg/m3|kg	3	修改  删除
a05008	三氯一氟甲烷	mg/m3|kg	3	修改  删除
a05009	二氯二氟甲烷	mg/m3|kg	3	修改  删除
a05013	三氯三氟乙烷	mg/m3|kg	3	修改  删除
a19001	氧气含量	%|-	3	修改  删除
a20007	砷	ng/m3|g	3	修改  删除
a20016	铍及其化合物	mg/m3|kg	3	修改  删除
