zeroAndFull,         校零校满；
adjustTime,	          校时；
immediateSample,	   及时采样；
remoteQualityCtrl,	远程质控；
startTest,	仪器启动测试；
stopTest,	仪器停止测试；
autoCorrection,	仪器自动校准；
init,	仪器初始化；
checkStdSample,	仪器进行标样核查；
setMeasureMode,	仪器修改测量模式；
setMeasureInterval,	仪器修改周期测量间隔；
setAutoCorrectInterval,	仪器修改自动校准间隔；
setCheckStdSampleInterval,	仪器修改自动标样核查间隔；
setOneLevelPasswd	,修改一级密码；
setTwoLevelPasswd,	修改二级密码；
setThreeLevelPasswd,	修改三级密码；
zeroCorrectRange,	零点校准量程校准；
startClean,	启动清洗/反吹；
compareSample,	比对采样；
overproofSample,	超标留样；
setSampleCycle,	设置采样时间周期；
getSampleCycle,	提取采样时间周期；
getLastSampleTime,	提取出样时间；
getEquipmentId,	提取设备唯一标识；
getEquipmentTime,	提取现场机时间；
setEquipmentTime,	设置现场机时间；
setEquipmentParam,	设置现场机参数；
